feature names,importances
PreferredPaymentMode_COD,0.07155492
PreferredPaymentMode_UPI,0.070005566
PreferedOrderCat_Fashion,0.06176521
Tenure,0.052716184
Complain,0.049951088
PreferredLoginDevice_Computer,0.046347495
PreferedOrderCat_Mobile,0.043085847
PreferredPaymentMode_Cash on Delivery,0.042080667
PreferredPaymentMode_E wallet,0.039581846
MaritalStatus_Single,0.03402837
PreferredPaymentMode_Debit Card,0.030847313
NumberOfAddress,0.030457383
DaySinceLastOrder,0.029852472
PreferedOrderCat_Laptop & Accessory,0.029553374
SatisfactionScore,0.027832372
PreferedOrderCat_Others,0.026613439
PreferedOrderCat_Mobile Phone,0.025589239
PreferredLoginDevice_Mobile Phone,0.02509162
CityTier,0.024784688
OrderAmountHikeFromlastYear,0.023098607
OrderCount,0.022288695
HourSpendOnApp,0.02177888
MaritalStatus_Divorced,0.021691266
NumberOfDeviceRegistered,0.021210898
WarehouseToHome,0.02105965
Gender_Female,0.020339191
MaritalStatus_Married,0.019559799
PreferredPaymentMode_Credit Card,0.017920787
CashbackAmount,0.016048316
PreferredLoginDevice_Phone,0.015883544
CouponUsed,0.014453557
PreferredPaymentMode_CC,0.0029277
Gender_Male,0.0
PreferedOrderCat_Grocery,0.0
