index,columns,outlier,Lower Range,Upper Range
1,CustomerID,0,47261.0,58501.0
2,Churn,864,0.0,0.0
3,Tenure,4,-16.5,35.5
4,CityTier,0,-2.0,6.0
5,WarehouseToHome,0,-7.5,36.5
6,HourSpendOnApp,6,0.5,4.5
7,NumberOfDeviceRegistered,374,1.5,5.5
8,SatisfactionScore,0,-1.0,7.0
9,NumberOfAddress,4,-4.0,12.0
10,Complain,0,-1.5,2.5
11,OrderAmountHikeFromlastYear,33,5.5,25.5
12,CouponUsed,617,-0.5,3.5
13,OrderCount,688,-2.105489353389334,6.175815588982223
14,DaySinceLastOrder,60,-5.5,14.5
15,CashbackAmount,422,71.5,275.5
