feature,tree_importance,perm_importance,shap_importance,tree_importance_rank,perm_importance_rank,shap_importance_rank,avg_rank
NumberOfAddress,476,0.022752497225305257,0.8908642831773278,5.0,2.0,2.0,3.0
Tenure,374,0.1221975582685905,3.1379085726358555,11.0,1.0,1.0,4.333333333333333
engagement_score,445,0.0046614872364040385,0.43482198569297903,6.0,7.0,7.0,6.666666666666667
warehousetohome_X_satisfaction,518,0.005993340732519481,0.2862626883670192,3.5,5.0,15.0,7.833333333333333
CashbackAmount,349,0.00499445061043291,0.36883120610838266,12.0,6.0,9.0,9.0
citytier_X_warehousetohome,587,0.0026637069922308965,0.3184136837153707,1.0,16.0,11.0,9.333333333333334
MaritalStatus_Single,207,0.009766925638179857,0.6818168929662439,23.0,3.0,4.0,10.0
complain_X_dayssince,302,0.004217536071032235,0.39463481107527315,17.0,9.5,8.0,11.5
cashback_per_order,518,0.0033296337402886067,0.22108546831839143,3.5,12.0,20.0,11.833333333333334
churn_risk_score,574,0.001109877913429569,0.6539904036782261,2.0,30.0,5.0,12.333333333333334
tenure_to_days_inactive_ratio,393,0.0024417314095450003,0.2952345358623824,9.0,18.0,14.0,13.666666666666666
ordercount_X_cashback,297,0.004106548279689282,0.30589886948836575,18.0,11.0,13.0,14.0
CityTier,171,0.004439511653718142,0.3496252887381361,26.0,8.0,10.0,14.666666666666666
warehousetohome_X_ordercount,415,0.002552719200887932,0.2270390997711214,8.0,17.0,19.0,14.666666666666666
tenure_X_cashback,382,0.002996670366259746,0.20276794572253065,10.0,14.0,24.0,16.0
WarehouseToHome,335,0.001997780244173175,0.30852591649952577,14.0,22.0,12.0,16.0
device_adoption_rate,203,0.0062153163152053655,0.16257781358267748,24.0,4.0,28.0,18.666666666666668
OrderAmountHikeFromlastYear,322,0.002774694783573839,0.16815557091950212,15.0,15.0,27.0,19.0
tenure_X_satisfaction,208,0.002219755826859071,0.2774798441135351,22.0,20.0,16.0,19.333333333333332
